Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Gaston Noël,Gaston Noël,Conservative Party of Canada,7216,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Louise Thibault,Louise Thibault,Independent,1966,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Normand Beaudet,Normand Beaudet,New Democratic Party,6741,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Marie Martine Bédard,Marie Martine Bédard,Green Party of Canada,2134,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Claude Carignan,Claude Carignan,Conservative Party of Canada,9911,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Luc Desnoyers,Luc Desnoyers,Bloc Québécois,23216,
Quebec,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Denis Joannette,Denis Joannette,Liberal Party of Canada,8823,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Jean Bouchard,Jean Bouchard,Liberal Party of Canada,6835,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Aubert Côté,Aubert Côté,Christian Heritage Party of Canada,147,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Paul Crête,Paul Crête,Bloc Québécois,20494,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Claude Gaumond,Claude Gaumond,Green Party of Canada,978,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Gaston Hervieux,Gaston Hervieux,New Democratic Party,2428,
Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Denis Laflamme,Denis Laflamme,Conservative Party of Canada,13640,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Simon Bernier,Simon Bernier,New Democratic Party,7187,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Gilles Duguay,Gilles Duguay,Conservative Party of Canada,7170,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Monique Guay,Monique Guay,Bloc Québécois,26588,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Jocelyne Leduc,Jocelyne Leduc,Independent,273,
Quebec,Rivière-du-Nord,Rivière-du-Nord,Joao Neves,Joao Neves,Liberal Party of Canada,6755,
Quebec,Rivière-du-Nord,Rivière-du-Nord,René Piché,René Piché,Green Party of Canada,1656,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Catherine Forbes,Catherine Forbes,New Democratic Party,1738,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Bernard Garneau,Bernard Garneau,Liberal Party of Canada,3721,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Denis Lebel,Denis Lebel,Conservative Party of Canada,16055,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Claude Pilote,Claude Pilote,Bloc Québécois,14619,
Quebec,Roberval--Lac-Saint-Jean,Roberval--Lac-Saint-Jean,Jocelyn Tremblay,Jocelyn Tremblay,Green Party of Canada,737,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Jean-Patrick Berthiaume,Jean-Patrick Berthiaume,neorhino.ca,319,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Bernard Bigras,Bernard Bigras,Bloc Québécois,27260,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Alexandre Boulerice,Alexandre Boulerice,New Democratic Party,8522,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Sylvie Boulianne,Sylvie Boulianne,Conservative Party of Canada,3876,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Stéphane Chénier,Stéphane Chénier,Marxist-Leninist Party of Canada,170,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Michel Dugré,Michel Dugré,No Affiliation,83,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Vincent Larochelle,Vincent Larochelle,Green Party of Canada,2406,
Quebec,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Marjorie Théodore,Marjorie Théodore,Liberal Party of Canada,9785,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Simon Bernier,Simon Bernier,Green Party of Canada,2031,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Nicole Charbonneau Barron,Nicole Charbonneau Barron,Conservative Party of Canada,8125,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Pierre Diamond,Pierre Diamond,Liberal Party of Canada,11755,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Carole Lavallée,Carole Lavallée,Bloc Québécois,23767,
Quebec,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Vesna Vesic,Vesna Vesic,New Democratic Party,7154,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Brigitte Sansoucy,Brigitte Sansoucy,New Democratic Party,6721,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Jacques Tétreault,Jacques Tétreault,Green Party of Canada,1682,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Ève-Mary Thaï Thi Lac,Ève-Mary Thaï Thi Lac,Bloc Québécois,22719,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Denise Tremblay,Denise Tremblay,Liberal Party of Canada,6649,
Quebec,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,René Vincelette,René Vincelette,Conservative Party of Canada,10195,
Quebec,Saint-Jean,Saint-Jean,Claude Bachand,Claude Bachand,Bloc Québécois,26506,
Quebec,Saint-Jean,Saint-Jean,Guy Berger,Guy Berger,Independent,520,
Quebec,Saint-Jean,Saint-Jean,Marie-Josée Mercier,Marie-Josée Mercier,Conservative Party of Canada,9281,
Quebec,Saint-Jean,Saint-Jean,Philippe Refghi,Philippe Refghi,New Democratic Party,5529,
Quebec,Saint-Jean,Saint-Jean,Claire Ste-Marie,Claire Ste-Marie,Liberal Party of Canada,9430,
Quebec,Saint-Jean,Saint-Jean,Pierre Tremblay,Pierre Tremblay,Green Party of Canada,2160,
Quebec,Saint-Lambert,Saint-Lambert,Josée Beaudin,Josée Beaudin,Bloc Québécois,16346,
Quebec,Saint-Lambert,Saint-Lambert,Patrick Clune,Patrick Clune,Conservative Party of Canada,6867,
Quebec,Saint-Lambert,Saint-Lambert,Diane Joubert,Diane Joubert,Green Party of Canada,1566,
Quebec,Saint-Lambert,Saint-Lambert,Richard Marois,Richard Marois,New Democratic Party,6280,
Quebec,Saint-Lambert,Saint-Lambert,Roxane Stanners,Roxane Stanners,Liberal Party of Canada,12383,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Fernand Deschamps,Fernand Deschamps,Marxist-Leninist Party of Canada,299,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Stéphane Dion,Stéphane Dion,Liberal Party of Canada,25095,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Dennis Galiatsatos,Dennis Galiatsatos,Conservative Party of Canada,6999,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Jacques Lachaîne,Jacques Lachaîne,Bloc Québécois,4611,
Quebec,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Jerome Rodrigues,Jerome Rodrigues,New Democratic Party,3654,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Laura Colella,Laura Colella,New Democratic Party,4039,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Garnet Colly,Garnet Colly,Marxist-Leninist Party of Canada,165,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Lucie Le Tourneau,Lucie Le Tourneau,Conservative Party of Canada,5627,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Frank Monteleone,Frank Monteleone,Green Party of Canada,1063,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Massimo Pacetti,Massimo Pacetti,Liberal Party of Canada,21652,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Farid Salem,Farid Salem,Bloc Québécois,5146,
Quebec,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Joseph Young,Joseph Young,No Affiliation,122,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Anne Marie Aubert,Anne Marie Aubert,New Democratic Party,3601,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Jean-Yves Laforest,Jean-Yves Laforest,Bloc Québécois,20397,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Stéphane Roof,Stéphane Roof,Conservative Party of Canada,11083,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Ronald St-Onge Lynch,Ronald St-Onge Lynch,Liberal Party of Canada,9755,
Quebec,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Martial Toupin,Martial Toupin,Green Party of Canada,1562,
Quebec,Shefford,Shefford,Michel.M. Champagne,Michel.M. Champagne,Green Party of Canada,1848,
Quebec,Shefford,Shefford,Bernard Demers,Bernard Demers,Liberal Party of Canada,10810,
Quebec,Shefford,Shefford,Simon Gnocchini Messier,Simon Gnocchini Messier,New Democratic Party,6323,
Quebec,Shefford,Shefford,Jean Lambert,Jean Lambert,Conservative Party of Canada,9927,
Quebec,Shefford,Shefford,Robert Vincent,Robert Vincent,Bloc Québécois,21650,
Quebec,Sherbrooke,Sherbrooke,André Bachand,André Bachand,Conservative Party of Canada,8331,
Quebec,Sherbrooke,Sherbrooke,Serge Cardin,Serge Cardin,Bloc Québécois,25502,
Quebec,Sherbrooke,Sherbrooke,Sébastien Côrriveau,Sébastien Côrriveau,neorhino.ca,467,
Quebec,Sherbrooke,Sherbrooke,Nathalie Goguen,Nathalie Goguen,Liberal Party of Canada,9947,
Quebec,Sherbrooke,Sherbrooke,Yves Mondoux,Yves Mondoux,New Democratic Party,6676,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Diane Bourgeois,Diane Bourgeois,Bloc Québécois,28303,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,M. Zamboni Cadieux,M. Zamboni Cadieux,Independent,283,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Martin Drapeau,Martin Drapeau,Green Party of Canada,1714,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Michel Le Clair,Michel Le Clair,New Democratic Party,7278,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Daniel Lebel,Daniel Lebel,Conservative Party of Canada,7551,
Quebec,Terrebonne--Blainville,Terrebonne--Blainville,Eva Nassif,Eva Nassif,Liberal Party of Canada,8937,
Quebec,Trois-Rivières,Trois-Rivières,Ariane Blais,Ariane Blais,Green Party of Canada,1540,
Quebec,Trois-Rivières,Trois-Rivières,Geneviève Boivin,Geneviève Boivin,New Democratic Party,4544,
Quebec,Trois-Rivières,Trois-Rivières,Paule Brunelle,Paule Brunelle,Bloc Québécois,22405,
Quebec,Trois-Rivières,Trois-Rivières,Claude Durand,Claude Durand,Conservative Party of Canada,11998,
Quebec,Trois-Rivières,Trois-Rivières,Marcos G. Simard,Marcos G. Simard,Liberal Party of Canada,9008,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Meili Faille,Meili Faille,Bloc Québécois,27044,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Michael M. Fortier,Michael M. Fortier,Conservative Party of Canada,15496,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Maxime Héroux-Legault,Maxime Héroux-Legault,New Democratic Party,6298,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Brigitte Legault,Brigitte Legault,Liberal Party of Canada,13954,
Quebec,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Jean-Yves Massenet,Jean-Yves Massenet,Green Party of Canada,2625,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Benoît Dussault,Benoît Dussault,Conservative Party of Canada,7742,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Raphaël Fortin,Raphaël Fortin,New Democratic Party,8388,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,François Fournier,François Fournier,Liberal Party of Canada,8871,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Luc Malo,Luc Malo,Bloc Québécois,27602,
Quebec,Verchères--Les Patriotes,Verchères--Les Patriotes,Annie Morel,Annie Morel,Green Party of Canada,1679,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Guy Dufort,Guy Dufort,Conservative Party of Canada,6139,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Marc Garneau,Marc Garneau,Liberal Party of Canada,18041,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Claude William Genest,Claude William Genest,Green Party of Canada,2733,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Anne Lagacé Dowson,Anne Lagacé Dowson,New Democratic Party,8904,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Charles Larivée,Charles Larivée,Bloc Québécois,2818,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,David Sommer Rovins,David Sommer Rovins,Independent,47,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Bill Sloan,Bill Sloan,Communist Party of Canada,34,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Linda Sullivan,Linda Sullivan,Marxist-Leninist Party of Canada,49,
Quebec,Westmount--Ville-Marie,Westmount--Ville-Marie,Judith Vienneau,Judith Vienneau,neorhino.ca,62,
Ontario,Ajax--Pickering,Ajax--Pickering,Mike Harilaid,Mike Harilaid,Green Party of Canada,3543,
Ontario,Ajax--Pickering,Ajax--Pickering,Mark Holland,Mark Holland,Liberal Party of Canada,21675,
Ontario,Ajax--Pickering,Ajax--Pickering,Rick Johnson,Rick Johnson,Conservative Party of Canada,18471,
Ontario,Ajax--Pickering,Ajax--Pickering,Kevin Norng,Kevin Norng,Christian Heritage Party of Canada,398,
Ontario,Ajax--Pickering,Ajax--Pickering,Bala Thavarajasoorier,Bala Thavarajasoorier,New Democratic Party,4422,
Ontario,Ajax--Pickering,Ajax--Pickering,Stephanie Wilson,Stephanie Wilson,Libertarian Party of Canada,167,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Carol Hughes,Carol Hughes,New Democratic Party,15249,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Dianne Musgrove,Dianne Musgrove,Conservative Party of Canada,5914,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Lorraine Rekmans,Lorraine Rekmans,Green Party of Canada,1451,
Ontario,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Brent St. Denis,Brent St. Denis,Liberal Party of Canada,10902,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Jamilé Ghaddar,Jamilé Ghaddar,Marxist-Leninist Party of Canada,148,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Gordon Guyatt,Gordon Guyatt,New Democratic Party,9632,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Arlene MacFarlane-VanderBeek,Arlene MacFarlane-VanderBeek,Liberal Party of Canada,15322,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Peter Ormond,Peter Ormond,Green Party of Canada,5149,
Ontario,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,David Sweet,David Sweet,Conservative Party of Canada,26297,
Ontario,Barrie,Barrie,Patrick Brown,Patrick Brown,Conservative Party of Canada,27927,
Ontario,Barrie,Barrie,Myrna Clark,Myrna Clark,New Democratic Party,6403,
Ontario,Barrie,Barrie,Paolo Fabrizio,Paolo Fabrizio,Libertarian Party of Canada,260,
Ontario,Barrie,Barrie,Erich Jacoby-Hawkins,Erich Jacoby-Hawkins,Green Party of Canada,5921,
Ontario,Barrie,Barrie,Rick Jones,Rick Jones,Liberal Party of Canada,12732,
Ontario,Barrie,Barrie,Christine Anne Nugent,Christine Anne Nugent,Marxist-Leninist Party of Canada,84,
Ontario,Beaches--East York,Beaches--East York,Caroline Alleslev,Caroline Alleslev,Conservative Party of Canada,7907,
Ontario,Beaches--East York,Beaches--East York,Roger Carter,Roger Carter,Marxist-Leninist Party of Canada,155,
Ontario,Beaches--East York,Beaches--East York,Marilyn Churley,Marilyn Churley,New Democratic Party,14875,
Ontario,Beaches--East York,Beaches--East York,Zoran Markovski,Zoran Markovski,Green Party of Canada,4389,
Ontario,Beaches--East York,Beaches--East York,Maria Minna,Maria Minna,Liberal Party of Canada,18967,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Stella Ambler,Stella Ambler,Conservative Party of Canada,18353,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Frank Chilelli,Frank Chilelli,Marxist-Leninist Party of Canada,309,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Gurbax S. Malhi,Gurbax S. Malhi,Liberal Party of Canada,22272,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Mark Pajot,Mark Pajot,Green Party of Canada,2551,
Ontario,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Jash Puniya,Jash Puniya,New Democratic Party,5945,
Ontario,Brampton--Springdale,Brampton--Springdale,Ruby Dhalla,Ruby Dhalla,Liberal Party of Canada,18577,
Ontario,Brampton--Springdale,Brampton--Springdale,Dave Finlay,Dave Finlay,Green Party of Canada,3516,
Ontario,Brampton--Springdale,Brampton--Springdale,Parm Gill,Parm Gill,Conservative Party of Canada,17804,
Ontario,Brampton--Springdale,Brampton--Springdale,Dimitrios Kabitsis,Dimitrios Kabitsis,Communist Party of Canada,135,
Ontario,Brampton--Springdale,Brampton--Springdale,Mani Singh,Mani Singh,New Democratic Party,5238,
Ontario,Brampton West,Brampton-Ouest,Patti Chmelyk,Patti Chmelyk,Green Party of Canada,3329,
Ontario,Brampton West,Brampton-Ouest,Andrew Kania,Andrew Kania,Liberal Party of Canada,21746,
Ontario,Brampton West,Brampton-Ouest,Kyle Seeback,Kyle Seeback,Conservative Party of Canada,21515,
Ontario,Brampton West,Brampton-Ouest,Jagtar Shergill,Jagtar Shergill,New Democratic Party,7334,
Ontario,Brant,Brant,Nora Fueten,Nora Fueten,Green Party of Canada,3814,
Ontario,Brant,Brant,John G. Gots,John G. Gots,Christian Heritage Party of Canada,371,
Ontario,Brant,Brant,Phil McColeman,Phil McColeman,Conservative Party of Canada,22736,
Ontario,Brant,Brant,Lloyd St. Amand,Lloyd St. Amand,Liberal Party of Canada,17943,
Ontario,Brant,Brant,Brian Van Tilborg,Brian Van Tilborg,New Democratic Party,9331,
Ontario,Burlington,Burlington,David Laird,David Laird,New Democratic Party,6597,
Ontario,Burlington,Burlington,Marnie Mellish,Marnie Mellish,Green Party of Canada,4083,
Ontario,Burlington,Burlington,Paddy Torsney,Paddy Torsney,Liberal Party of Canada,19577,
Ontario,Burlington,Burlington,Mike Wallace,Mike Wallace,Conservative Party of Canada,28614,
Ontario,Cambridge,Cambridge,Scott Cosman,Scott Cosman,Green Party of Canada,4279,
Ontario,Cambridge,Cambridge,Gary Goodyear,Gary Goodyear,Conservative Party of Canada,24895,
Ontario,Cambridge,Cambridge,Max Lombardi,Max Lombardi,New Democratic Party,10044,
Ontario,Cambridge,Cambridge,Gord Zeilstra,Gord Zeilstra,Liberal Party of Canada,11977,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Paul Arbour,Paul Arbour,New Democratic Party,6583,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Jake Cole,Jake Cole,Green Party of Canada,6983,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Justin MacKinnon,Justin MacKinnon,Liberal Party of Canada,15254,
Ontario,Carleton--Mississippi Mills,Carleton--Mississippi Mills,Gordon O'Connor,Gordon O'Connor,Conservative Party of Canada,39433,
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Alina Abbott,Alina Abbott,Green Party of Canada,2712,
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Ron Cadotte,Ron Cadotte,New Democratic Party,6850,
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Matt Daudlin,Matt Daudlin,Liberal Party of Canada,12127,
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Dave Van Kesteren,Dave Van Kesteren,Conservative Party of Canada,19960,
Ontario,Durham,Durham,Stephen Leahy,Stephen Leahy,Green Party of Canada,6041,
Ontario,Durham,Durham,Andrew McKeever,Andrew McKeever,New Democratic Party,5485,
Ontario,Durham,Durham,Bev Oda,Bev Oda,Conservative Party of Canada,28551,
Ontario,Durham,Durham,Bryan Ransom,Bryan Ransom,Liberal Party of Canada,12167,
Ontario,Durham,Durham,Henry Zekveld,Henry Zekveld,Christian Heritage Party of Canada,577,
Ontario,Davenport,Davenport,Peter Ferreira,Peter Ferreira,New Democratic Party,10896,
Ontario,Davenport,Davenport,Miguel Figueroa,Miguel Figueroa,Communist Party of Canada,160,
Ontario,Davenport,Davenport,Wendy Forrest,Wendy Forrest,Independent,172,
Ontario,Davenport,Davenport,Simon Luisi,Simon Luisi,Animal Alliance Environment Voters Party of Canada,92,
Ontario,Davenport,Davenport,Theresa Rodrigues,Theresa Rodrigues,Conservative Party of Canada,3838,
Ontario,Davenport,Davenport,Wayne Scott,Wayne Scott,Green Party of Canada,3655,
Ontario,Davenport,Davenport,Mario Silva,Mario Silva,Liberal Party of Canada,15953,
Ontario,Davenport,Davenport,Sarah Thompson,Sarah Thompson,Marxist-Leninist Party of Canada,87,
Ontario,Don Valley East,Don Valley-Est,Wayne Clements,Wayne Clements,Green Party of Canada,2618,
Ontario,Don Valley East,Don Valley-Est,Mary Trapani Hynes,Mary Trapani Hynes,New Democratic Party,5062,
Ontario,Don Valley East,Don Valley-Est,Alex Kovalenko,Alex Kovalenko,Christian Heritage Party of Canada,266,
Ontario,Don Valley East,Don Valley-Est,Eugene McDermott,Eugene McDermott,Conservative Party of Canada,11777,
Ontario,Don Valley East,Don Valley-Est,Yasmin Ratansi,Yasmin Ratansi,Liberal Party of Canada,18264,
Ontario,Don Valley West,Don Valley-Ouest,John Carmichael,John Carmichael,Conservative Party of Canada,19441,
Ontario,Don Valley West,Don Valley-Ouest,Catherine Holliday,Catherine Holliday,Communist Party of Canada,162,
Ontario,Don Valley West,Don Valley-Ouest,Rob Oliphant,Rob Oliphant,Liberal Party of Canada,22212,
Ontario,Don Valley West,Don Valley-Ouest,David Sparrow,David Sparrow,New Democratic Party,5102,
Ontario,Don Valley West,Don Valley-Ouest,Georgina Wilcock,Georgina Wilcock,Green Party of Canada,3155,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Jason Bissett,Jason Bissett,New Democratic Party,4385,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Rebecca Finch,Rebecca Finch,Liberal Party of Canada,8495,
Ontario,Dufferin--Caledon,Dufferin--Caledon,David Tilson,David Tilson,Conservative Party of Canada,23363,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Ard Van Leeuwen,Ard Van Leeuwen,Green Party of Canada,7377,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Dean Woods,Dean Woods,Canadian Action Party,284,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Justin Chatwin,Justin Chatwin,New Democratic Party,3663,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Andrew James,Andrew James,Green Party of Canada,3629,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Joe Oliver,Joe Oliver,Conservative Party of Canada,17073,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Joseph Volpe,Joseph Volpe,Liberal Party of Canada,19133,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Will Arlow,Will Arlow,Canadian Action Party,96,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Noel Burgon,Noel Burgon,Green Party of Canada,3241,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Ryan Dolby,Ryan Dolby,New Democratic Party,9135,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Carl Hiemstra,Carl Hiemstra,Christian Heritage Party of Canada,619,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Joe Preston,Joe Preston,Conservative Party of Canada,22970,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Suzanne van Bommel,Suzanne van Bommel,Liberal Party of Canada,11169,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Michael van Holst,Michael van Holst,Independent,243,
Ontario,Essex,Essex,Richard Bachynsky,Richard Bachynsky,Green Party of Canada,2234,
Ontario,Essex,Essex,Taras Natyshak,Taras Natyshak,New Democratic Party,13703,
Ontario,Essex,Essex,Jeff Watson,Jeff Watson,Conservative Party of Canada,20608,
Ontario,Essex,Essex,Susan Whelan,Susan Whelan,Liberal Party of Canada,14973,
Ontario,Etobicoke Centre,Etobicoke-Centre,Axel Kuhn,Axel Kuhn,Conservative Party of Canada,18839,
Ontario,Etobicoke Centre,Etobicoke-Centre,Marion Schaffer,Marion Schaffer,Green Party of Canada,2688,
Ontario,Etobicoke Centre,Etobicoke-Centre,Joseph Schwartz,Joseph Schwartz,New Democratic Party,4164,
Ontario,Etobicoke Centre,Etobicoke-Centre,Borys Wrzesnewskyj,Borys Wrzesnewskyj,Liberal Party of Canada,24537,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Patrick Boyer,Patrick Boyer,Conservative Party of Canada,17793,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Dave Corail,Dave Corail,Green Party of Canada,3562,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Michael Ignatieff,Michael Ignatieff,Liberal Party of Canada,23536,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Liam McHugh-Russell,Liam McHugh-Russell,New Democratic Party,5950,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Janice Murray,Janice Murray,Marxist-Leninist Party of Canada,181,
Ontario,Etobicoke North,Etobicoke-Nord,Nigel Barriffe,Nigel Barriffe,Green Party of Canada,1460,
Ontario,Etobicoke North,Etobicoke-Nord,Anna Di Carlo,Anna Di Carlo,Marxist-Leninist Party of Canada,300,
Ontario,Etobicoke North,Etobicoke-Nord,Kirsty Duncan,Kirsty Duncan,Liberal Party of Canada,15244,
Ontario,Etobicoke North,Etobicoke-Nord,Ali Naqvi,Ali Naqvi,New Democratic Party,4940,
Ontario,Etobicoke North,Etobicoke-Nord,Bob Saroya,Bob Saroya,Conservative Party of Canada,9436,
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Dan Boudria,Dan Boudria,Liberal Party of Canada,19997,
